Key,File,Type,english

isiBuildBundleDescription,blocks,block,TODO

WaywardEko_EkoBox_Description,blocks,block,"A bundle of shapes needed to build the [00b400]Eko Box[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=mvx9sxO_FZQ"
WaywardEko_EkoBox_1_Build,blocks,block,    "Eko Box - 1 - Build"
WaywardEko_EkoBox_Shapes,blocks,block,     "Eko Box - All Shapes"

WaywardEko_EkoCraft_Description,blocks,block,       "A bundle of shapes needed to build the [00b400]Eko Craft[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=szxHF5YGD44"
WaywardEko_EkoCraft_Shapes,blocks,block,            "Eko Craft - All Shapes"
WaywardEko_EkoCraft_1_Pillars,blocks,block,         "Eko Craft - 1 - Pillars"
WaywardEko_EkoCraft_2_BaseFloor,blocks,block,       "Eko Craft - 2 - Base Floor"
WaywardEko_EkoCraft_3_Corners,blocks,block,         "Eko Craft - 3 - Corners"
WaywardEko_EkoCraft_4_Sides,blocks,block,           "Eko Craft - 4 - Sides"
WaywardEko_EkoCraft_5_TopRingAndSpires,blocks,block,"Eko Craft - 5 - Top Ring & Spires"
WaywardEko_EkoCraft_6_Roof,blocks,block,            "Eko Craft - 6 - Roof"
WaywardEko_EkoCraft_7_Ramp,blocks,block,            "Eko Craft - 7 - Ramp"
WaywardEko_EkoCraft_8_Entrance,blocks,block,        "Eko Craft - 8 - Entrance"

WaywardEko_EkoMini_Description,blocks,block,                  "A bundle of shapes needed to build the [00b400]Eko Mini[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/@WaywardEko"
WaywardEko_EkoMini_Shapes,blocks,block,                       "Eko Mini - All Shapes"
WaywardEko_EkoMini_1_1_Foundation,blocks,block,               "Eko Mini - Stage 1 - Step 1: Foundation"
WaywardEko_EkoMini_1_2_Pillars,blocks,block,                  "Eko Mini - Stage 1 - Step 2: Pillars"
WaywardEko_EkoMini_1_3_Floor,blocks,block,                    "Eko Mini - Stage 1 - Step 3: Floor"
WaywardEko_EkoMini_1_4_SidesAndRoof,blocks,block,             "Eko Mini - Stage 1 - Step 4: Sides & Roof"
WaywardEko_EkoMini_1_5_Ramp,blocks,block,                     "Eko Mini - Stage 1 - Step 5: Ramp"
WaywardEko_EkoMini_1_6_FightingPosition,blocks,block,         "Eko Mini - Stage 1 - Step 6: Fighting Position"
WaywardEko_EkoMini_1_7_Pit,blocks,block,                      "Eko Mini - Stage 1 - Step 7: Pit"
WaywardEko_EkoMini_1_8_ElectricFences,blocks,block,           "Eko Mini - Stage 1 - Step 8: Electric Fences (Optional)"
WaywardEko_EkoMini_2_1_UpgradeExistingStructures,blocks,block,"Eko Mini - Stage 2 - Step 1: Upgrade Existing Structure"
WaywardEko_EkoMini_2_2_PitBottomUpgrade,blocks,block,         "Eko Mini - Stage 2 - Step 2: Pit Bottom Upgrade - 2nd Stair + Stair Walls"
WaywardEko_EkoMini_2_3_ElectricFenceProtection,blocks,block,  "Eko Mini - Stage 2 - Step 3: Electric Fence Protection"
WaywardEko_EkoMini_3_1_UpgradeExistingStructure,blocks,block, "Eko Mini - Stage 3 - Step 1: Upgrade Existing Structure"
WaywardEko_EkoMini_3_2_PitWalls,blocks,block,                 "Eko Mini - Stage 3 - Step 2: Pit Walls"
WaywardEko_EkoMini_3_3_GroundCovering,blocks,block,           "Eko Mini - Stage 3 - Step 3: Ground Covering"
WaywardEko_EkoMini_3_4_FinalElectrical,blocks,block,          "Eko Mini - Stage 3 - Step 4: Final Electric"

WaywardEko_Foundry_Crafting_Description,blocks,block,                 "A bundle of shapes needed to build the [00b400]Foundry (Crafting Base)[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=UT6BViqGJkg"
WaywardEko_Foundry_Crafting_Shapes,blocks,block,                      "Foundry (Crafting Base) - All Shapes"
WaywardEko_Foundry_Crafting_1_Ramp,blocks,block,                      "Foundry (Crafting Base) - 1 - Ramp"
WaywardEko_Foundry_Crafting_2_Frame,blocks,block,                     "Foundry (Crafting Base) - 2 - Frame"
WaywardEko_Foundry_Crafting_3_GarageLevelWalls,blocks,block,          "Foundry (Crafting Base) - 3 - Garage Level Walls"
WaywardEko_Foundry_Crafting_4_CraftingLevelWalls,blocks,block,        "Foundry (Crafting Base) - 4 - Crafting Level Walls"
WaywardEko_Foundry_Crafting_5_Roof,blocks,block,                      "Foundry (Crafting Base) - 5 - Roof"
WaywardEko_Foundry_Crafting_6_CraftingRoom,blocks,block,              "Foundry (Crafting Base) - 6 - Crafting Room"
WaywardEko_Foundry_Crafting_8_ExternalTrimAndFinalWiring,blocks,block,"Foundry (Crafting Base) - 8 - External Trim & Final Wiring"
WaywardEko_Foundry_Crafting_9_GardenOptional,blocks,block,            "Foundry (Crafting Base) - 9 - Garden (Optional)"

WaywardEko_Foundry_Horde_Description,blocks,block,                   "A bundle of shapes needed to build the [00b400]Foundry (Horde Base)[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=k89FE_6P9fA"
WaywardEko_Foundry_Horde_Shapes,blocks,block,                        "Foundry (Horde Base) - All Shapes"
WaywardEko_Foundry_Horde_1_Pit,blocks,block,                         "Foundry (Horde Base) - 1 - Pit"
WaywardEko_Foundry_Horde_2_PillarsAndFloor,blocks,block,             "Foundry (Horde Base) - 2 - Pillars & Floor"
WaywardEko_Foundry_Horde_3_SideWalls,blocks,block,                   "Foundry (Horde Base) - 3 - Side Walls"
WaywardEko_Foundry_Horde_4_FightingPositions,blocks,block,           "Foundry (Horde Base) - 4 - Fighting Positions"
WaywardEko_Foundry_Horde_5_PodsAndFrontFightingPosition,blocks,block,"Foundry (Horde Base) - 5 - Pods & Fighting Position"
WaywardEko_Foundry_Horde_6_Roof,blocks,block,                        "Foundry (Horde Base) - 6 - Roof"
WaywardEko_Foundry_Horde_7_LaddersAndBridge,blocks,block,            "Foundry (Horde Base) - 7 - Ladders & Bridge"
WaywardEko_Foundry_Horde_8_ExternalTrimAndDoors,blocks,block,        "Foundry (Horde Base) - 8 - External Trim & Doors"
WaywardEko_Foundry_Horde_9_InteriorAndElectrical,blocks,block,       "Foundry (Horde Base) - 9 - Interior & Electrical"

WaywardEko_SeekersBane_Description,blocks,block,                                "A bundle of shapes needed to build the [00b400]Seeker's Bane[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=jEMnP7sHEzo"
WaywardEko_SeekersBane_Shapes,blocks,block,                                     "Seeker's Bane - All Shapes"
WaywardEko_SeekersBane_Stage1_Step1_PillarsAndPlatform,blocks,block,            "Seeker's Bane - Stage 1 | Step 1 - Pillars & Platform"
WaywardEko_SeekersBane_Stage1_Step2_Ramp,blocks,block,                          "Seeker's Bane - Stage 1 | Step 2 - Ramp"
WaywardEko_SeekersBane_Stage1_Step3_FightingPosition,blocks,block,              "Seeker's Bane - Stage 1 | Step 3 - Fighting Position"
WaywardEko_SeekersBane_Stage2_Step2_PillarsAndPlatform,blocks,block,            "Seeker's Bane - Stage 2 | Step 2 - Pillars & Platform"
WaywardEko_SeekersBane_Stage2_Step3_SecondRamp,blocks,block,                    "Seeker's Bane - Stage 2 | Step 3 - Second Ramp"
WaywardEko_SeekersBane_Stage2_Step4_FightingPosition,blocks,block,              "Seeker's Bane - Stage 2 | Step 4 - Second Fighting Position"
WaywardEko_SeekersBane_Stage2_Step5_CenterPillarReinforcement,blocks,block,     "Seeker's Bane - Stage 2 | Step 5 - Center Pillar Reinforcement"
WaywardEko_SeekersBane_Stage2_Step6_SideWallsAndRoof,blocks,block,              "Seeker's Bane - Stage 2 | Step 6 - Side Walls & Roof"
WaywardEko_SeekersBane_Stage3_Step2_RampExpansion,blocks,block,                 "Seeker's Bane - Stage 3 | Step 2 - Ramp Expansion"
